Index,Total_energy(eV),Total_force(eV/Ang)
seg1_iter44_img2,-5581201.097132815,154.2234277113894
seg1_iter45_img2,-5581202.801908896,145.74126190822088
seg1_iter48_img1,-5581238.51701158,5.9517204305093125
seg1_iter51_img1,-5581238.476123178,5.505203258491044
seg1_iter52_img3,-5581223.961754374,52.819084420596226
seg1_iter56_img5,-5581229.283197376,38.41739845279232
seg1_iter60_img3,-5581225.483611014,48.4688976747146
seg1_iter60_img4,-5581240.574484398,2.131946173006537
seg1_iter65_img1,-5581238.332065629,4.781562417782877
seg1_iter68_img2,-5581226.719844271,35.2846941890786
seg1_iter69_img5,-5581235.226258967,17.31713530219481
seg1_iter73_img2,-5581228.044796111,30.86617503817739
seg1_iter73_img4,-5581240.988969012,1.5214037908519105
seg1_iter75_img4,-5581241.068493777,1.252398492806836
seg3_iter43_img2,-5581236.688457,6.411912268560288
seg3_iter43_img3,-5581236.015837527,5.70214485424092
seg3_iter44_img2,-5581236.714725926,6.19199948609817
seg3_iter50_img1,-5581238.839942728,3.132059841054609
seg3_iter51_img5,-5581239.595095562,1.3234957387990092
seg3_iter54_img5,-5581239.605861023,1.2959263499629645
seg3_iter56_img5,-5581239.616480482,1.2410897088322868
seg3_iter57_img4,-5581241.051609046,0.8838941986014265
seg3_iter60_img3,-5581236.668198354,3.037836706429018
seg3_iter61_img1,-5581238.970451742,1.6476220610692074
seg3_iter62_img2,-5581237.621804338,3.169282120156174
seg3_iter65_img4,-5581241.05443141,0.8736871740178257
seg3_iter67_img5,-5581239.643218661,1.107269200121201
seg3_iter73_img2,-5581237.657115977,3.764668393326777
seg3_iter75_img1,-5581238.771786948,3.331164151981745
seg3_iter75_img2,-5581237.734409254,3.4765767377279566
seg3_iter77_img5,-5581239.768149852,0.6941089889032921
seg3_iter78_img1,-5581238.745549074,3.3601754389927465
seg3_iter78_img2,-5581237.812582124,3.1047387387284617
seg3_iter79_img3,-5581236.959949983,4.012332164107765
seg4_iter44_img1,-5581239.165526768,1.656561543858095
seg4_iter46_img3,-5581237.941122905,2.5117149942989183
seg4_iter46_img4,-5581241.077012029,0.923010340580973
seg4_iter50_img5,-5581239.830921786,0.46141369518111863
seg4_iter54_img4,-5581241.038945186,1.225729508730721
seg4_iter55_img2,-5581238.424514002,1.997778991346012
seg4_iter56_img3,-5581238.422003641,2.810532426558845
seg4_iter56_img5,-5581239.846712711,0.3920268970474389
seg4_iter58_img3,-5581238.458278624,2.2771965656906072
seg4_iter60_img2,-5581238.467555638,1.575362929585432
seg4_iter61_img3,-5581238.498741737,1.922900418590421
seg4_iter63_img1,-5581239.051502259,2.211794263711658
seg4_iter66_img3,-5581238.515920958,2.7798791979110216
seg4_iter68_img1,-5581239.146406282,1.4368333850971522
seg4_iter72_img4,-5581241.11492746,0.7902031830501846
seg4_iter73_img1,-5581239.205291442,1.6245909008419757
seg4_iter73_img5,-5581239.847741918,0.5292990383438293
seg4_iter75_img1,-5581239.205371522,1.6106255399192466
seg4_iter75_img4,-5581241.116316664,0.7606820068327385
seg4_iter76_img1,-5581239.205146307,1.6092471591317832
seg4_iter76_img3,-5581238.282363999,3.7997939269442393
seg4_iter77_img1,-5581239.204961291,1.6042445983617675
seg4_iter77_img3,-5581238.280688984,3.771018071585275
seg4_iter78_img2,-5581238.422188058,3.693354397073727
seg4_iter79_img1,-5581239.206714872,1.5120937960023548
seg4_iter79_img2,-5581238.421961172,3.7205197330977255
seg4_iter79_img3,-5581238.29247791,3.566049493707703
seg4_iter79_img4,-5581241.119766866,0.7060081814941209
seg4_iter80_img5,-5581239.847344483,0.5150103879814413
seg5_iter43_img5,-5581239.881533391,0.2903145059146926
seg5_iter44_img2,-5581238.741661471,4.3997916447008825
seg5_iter44_img4,-5581241.052138972,1.061877872691482
seg5_iter44_img5,-5581239.882280077,0.3151819508845366
seg5_iter45_img3,-5581238.920430443,3.6072475865783846
seg5_iter45_img4,-5581241.060583821,0.9886880207498503
seg5_iter45_img5,-5581239.880540714,0.44641191410401865
seg5_iter46_img2,-5581238.661541458,5.707174774440736
seg5_iter46_img3,-5581238.853655749,3.7535464215991134
seg5_iter46_img5,-5581239.880291986,0.5112055218389351
seg5_iter47_img3,-5581238.771267767,3.8554174414296374
seg5_iter47_img4,-5581241.072067849,0.9338067159645936
seg5_iter47_img5,-5581239.880066004,0.5511023419839454
seg5_iter48_img3,-5581238.659215692,4.28175054353065
seg5_iter48_img4,-5581241.095671173,0.8310899857132459
seg5_iter48_img5,-5581239.889654625,0.39049447630650963
seg5_iter49_img1,-5581239.205103734,2.0624757382002077
seg5_iter49_img2,-5581238.643043512,5.440824897146342
seg5_iter49_img4,-5581241.079486665,0.9566761824659131
seg5_iter49_img5,-5581239.882136414,0.5333849433408012
seg5_iter50_img5,-5581239.882505354,0.5252435375963713
seg5_iter51_img1,-5581239.208935535,1.9717308872135266
seg5_iter51_img2,-5581238.671436048,5.030876860484308
seg5_iter51_img3,-5581238.660262358,4.158175482335452
seg5_iter51_img5,-5581239.883109482,0.510969675764665
seg5_iter52_img2,-5581238.690390491,4.748797114709564
seg5_iter52_img4,-5581241.085262556,0.8795542697710119
seg5_iter52_img5,-5581239.883703666,0.49558745125737985
seg5_iter53_img2,-5581238.705185308,4.5271000705458215
seg5_iter53_img3,-5581238.626051047,4.311666392998197
seg5_iter53_img4,-5581241.087609609,0.8520512219556979
seg5_iter54_img3,-5581238.620249298,4.271324588535599
seg5_iter54_img4,-5581241.08934917,0.833138582867362
seg5_iter55_img2,-5581238.718717574,4.327960030166485
seg5_iter55_img5,-5581239.883334393,0.4857509574392234
seg5_iter56_img3,-5581238.629699615,3.964984949097116
seg5_iter57_img4,-5581241.09034942,0.8172988259670807
seg5_iter59_img4,-5581241.091993002,0.808453176744549
seg5_iter61_img1,-5581239.254318085,1.0714311135445502
seg5_iter61_img2,-5581238.781344967,2.7065406293493948
seg5_iter61_img5,-5581239.88465857,0.3919086953401966
seg5_iter63_img3,-5581238.583778791,3.053327800331765
seg5_iter64_img5,-5581239.884663286,0.37476373987648137
seg5_iter65_img5,-5581239.884682512,0.3740022983689241
seg5_iter66_img1,-5581239.257160386,1.1469901854619255
seg5_iter66_img3,-5581238.580944742,3.0791057438863145
seg5_iter66_img4,-5581241.093395231,0.8365718326973081
seg5_iter67_img1,-5581239.257213211,1.1462028077290256
seg5_iter68_img4,-5581241.09336029,0.8371787856046958
seg5_iter68_img5,-5581239.884709931,0.3731605486587611
seg5_iter69_img3,-5581238.584441084,3.05128653106205
seg5_iter70_img2,-5581238.795893903,2.4234057552803314
seg5_iter70_img4,-5581241.093279441,0.8395607895876142
seg5_iter70_img5,-5581239.884752055,0.3719574095210542
seg5_iter71_img1,-5581239.257739335,1.1368698410762863
seg5_iter71_img2,-5581238.796789365,2.4118085034070345
seg5_iter71_img5,-5581239.884780969,0.3710612649845133
seg5_iter72_img5,-5581239.88481566,0.36987548742425946
seg5_iter73_img1,-5581239.258254699,1.126957660376713
seg5_iter73_img2,-5581238.799715214,2.378365415496086
seg5_iter73_img3,-5581238.593006665,2.9854030759042476
seg5_iter73_img4,-5581241.092992164,0.8442783404874028
seg5_iter73_img5,-5581239.884861058,0.3685753614232621
seg5_iter74_img4,-5581241.092807688,0.8479131686369265
seg5_iter75_img1,-5581239.25908118,1.1095111062240235
seg5_iter75_img3,-5581238.599198597,2.93992892043392
seg5_iter75_img4,-5581241.092552575,0.8515745206410847
seg5_iter76_img1,-5581239.259624125,1.0993812307183561
seg5_iter76_img3,-5581238.602967343,2.912872111349928
seg5_iter76_img4,-5581241.092206529,0.8574230310520056
seg5_iter76_img5,-5581239.885104225,0.3619848535553191
seg5_iter77_img5,-5581239.885246285,0.3582182486076857
seg5_iter78_img2,-5581238.821806185,2.1572841530449796
seg5_iter78_img3,-5581238.612950865,2.8445897051792293
seg5_iter80_img1,-5581239.261977456,1.0987667933774623
seg5_iter80_img2,-5581238.838552044,2.000479342138914
seg5_iter80_img4,-5581241.08941032,0.9000314629522017
seg6_iter43_img1,-5581239.245043969,1.3142705024652122
seg6_iter43_img3,-5581239.08103929,2.511546369630106
seg6_iter44_img2,-5581238.971313571,1.9352448394953035
seg6_iter44_img3,-5581239.018729863,2.794491361134918
