P,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc,A_mass,B_mass,X_mass
103,1.8068,-15774.71475,-15780.74369,13.989222,10.192097,3.192127,3.22149,3.21524,9.00496,12.398372,8.405436,938.440361,2.638287,2.321613,1.160687,1.169844,1.167902,2.197776,2.517565,2.128879,132.905,207.2,126.904
104,1.8103,-15774.65628,-15780.73596,14.069945,10.271894,3.193743,3.222302,3.213785,9.002868,12.39931,8.39598,937.237857,2.644041,2.329411,1.161194,1.170096,1.167449,2.197543,2.517641,2.127753,132.905,207.2,126.904
105,1.7956,-15774.59858,-15780.73392,14.025798,10.195227,3.191172,3.221822,3.210751,9.016716,12.395873,8.381478,936.798245,2.640898,2.32192,1.160388,1.169947,1.166505,2.19908,2.517364,2.126024,132.905,207.2,126.904
106,1.8082,-15774.5394,-15780.73309,14.074249,10.243025,3.192027,3.221172,3.214079,9.002726,12.394765,8.395165,936.78855,2.644347,2.326597,1.160656,1.169745,1.167541,2.197527,2.517274,2.127656,132.905,207.2,126.904
107,1.8,-15774.48147,-15780.72815,14.091978,10.24778,3.19093,3.222093,3.211603,9.012856,12.391176,8.380786,935.965196,2.645606,2.327061,1.160312,1.170031,1.16677,2.198652,2.516985,2.125942,132.905,207.2,126.904
108,1.8027,-15774.42301,-15780.72512,14.123821,10.267942,3.190271,3.221547,3.2129,9.011164,12.387127,8.381148,935.524129,2.647863,2.329027,1.160106,1.169862,1.167174,2.198464,2.516658,2.125985,132.905,207.2,126.904
109,1.7917,-15774.36517,-15780.71973,14.082604,10.198532,3.189513,3.220217,3.208228,9.012731,12.38956,8.370233,934.651715,2.64494,2.322244,1.159868,1.169449,1.165719,2.198638,2.516854,2.124682,132.905,207.2,126.904
110,1.8081,-15774.30622,-15780.71121,14.210815,10.338866,3.191505,3.220751,3.210836,8.99873,12.386641,8.374989,933.510109,2.654003,2.33591,1.160493,1.169615,1.166531,2.197083,2.516619,2.12525,132.905,207.2,126.904
111,1.7927,-15774.24893,-15780.7109,14.167469,10.243731,3.189872,3.219962,3.207426,9.015891,12.388501,8.356065,933.317138,2.650948,2.326666,1.159981,1.16937,1.165469,2.198989,2.516769,2.122988,132.905,207.2,126.904
112,1.7922,-15774.19054,-15780.70744,14.172966,10.25134,3.18874,3.219899,3.207364,9.012577,12.383361,8.358374,932.844705,2.651336,2.327408,1.159626,1.16935,1.165449,2.198621,2.516354,2.123264,132.905,207.2,126.904
113,1.7922,-15774.13253,-15780.70313,14.210243,10.26672,3.188759,3.219594,3.206981,9.014681,12.382746,8.351104,932.204514,2.653963,2.328908,1.159632,1.169255,1.16533,2.198854,2.516304,2.122394,132.905,207.2,126.904
114,1.8122,-15774.07325,-15780.69538,14.321006,10.400061,3.190937,3.21944,3.210364,8.991743,12.38021,8.365834,931.281871,2.661727,2.341812,1.160315,1.169208,1.166384,2.196307,2.516099,2.124156,132.905,207.2,126.904
115,1.7921,-15774.01654,-15780.6948,14.261911,10.278592,3.188918,3.218571,3.20561,9.013003,12.382859,8.341746,930.995111,2.657592,2.330063,1.159682,1.168937,1.164902,2.198668,2.516313,2.121273,132.905,207.2,126.904
116,1.7923,-15773.9583,-15780.68991,14.288656,10.309158,3.188153,3.218922,3.205493,9.011536,12.377727,8.340691,930.340036,2.659466,2.333033,1.159442,1.169046,1.164866,2.198505,2.515899,2.121146,132.905,207.2,126.904
117,1.7912,-15773.9004,-15780.68636,14.308754,10.309008,3.187505,3.218334,3.20545,9.013179,12.375491,8.336116,929.831308,2.660872,2.333018,1.159238,1.168864,1.164853,2.198688,2.515718,2.120597,132.905,207.2,126.904
118,1.801,-15773.84172,-15780.68074,14.38047,10.39851,3.188552,3.21931,3.206622,9.001853,12.372518,8.342607,929.162733,2.665871,2.341662,1.159567,1.169167,1.165218,2.19743,2.515478,2.121376,132.905,207.2,126.904
119,1.7902,-15773.78453,-15780.67827,14.351128,10.323287,3.186683,3.217703,3.204688,9.012616,12.371573,8.329279,928.716534,2.663829,2.334402,1.158981,1.168668,1.164615,2.198625,2.515401,2.119777,132.905,207.2,126.904
120,1.7903,-15773.72667,-15780.67398,14.37971,10.337251,3.186459,3.217485,3.204383,9.012681,12.369897,8.325099,928.131426,2.665818,2.335754,1.15891,1.1686,1.16452,2.198633,2.515266,2.119275,132.905,207.2,126.904
121,1.7903,-15773.66884,-15780.66944,14.407859,10.350645,3.186151,3.217244,3.204059,9.01262,12.36793,8.320985,927.519074,2.667774,2.337049,1.158814,1.168525,1.164418,2.198626,2.515107,2.118781,132.905,207.2,126.904
122,1.7891,-15773.61101,-15780.66596,14.418663,10.348233,3.185597,3.216825,3.203606,9.012079,12.36604,8.318573,927.052775,2.668523,2.336816,1.15864,1.168395,1.164277,2.198566,2.514954,2.118491,132.905,207.2,126.904
123,1.7889,-15773.55324,-15780.66167,14.443435,10.358813,3.185245,3.216561,3.203297,9.012037,12.364085,8.31481,926.482632,2.67024,2.337838,1.158529,1.168313,1.164181,2.198561,2.514796,2.118038,132.905,207.2,126.904
124,1.8021,-15773.49452,-15780.65264,14.550451,10.49462,3.186496,3.218046,3.205142,8.998746,12.358477,8.321502,925.440859,2.677622,2.350863,1.158922,1.168774,1.164757,2.197085,2.514342,2.118843,132.905,207.2,126.904
125,1.7885,-15773.43783,-15780.6528,14.494948,10.381004,3.184635,3.216057,3.202589,9.011746,12.360467,8.307057,925.318033,2.6738,2.339978,1.158338,1.168156,1.16396,2.198529,2.514503,2.117105,132.905,207.2,126.904
126,1.7884,-15773.38019,-15780.64836,14.521261,10.392311,3.184364,3.215791,3.202247,9.011768,12.358791,8.302979,924.740557,2.675614,2.341066,1.158253,1.168073,1.163853,2.198531,2.514368,2.116614,132.905,207.2,126.904
127,1.8129,-15773.32077,-15780.64065,14.627654,10.536922,3.18632,3.215311,3.207201,8.982726,12.353919,8.326388,923.994835,2.682914,2.354885,1.158867,1.167924,1.165399,2.195303,2.513973,2.11943,132.905,207.2,126.904
128,1.8025,-15773.26394,-15780.63438,14.660343,10.542236,3.184833,3.216565,3.204893,8.999462,12.349328,8.305955,923.101465,2.685146,2.35539,1.1584,1.168314,1.164679,2.197165,2.513602,2.116973,132.905,207.2,126.904
