P,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc,A_mass,B_mass,X_mass
192,1.8363,-15769.67453,-15780.23875,17.629023,10.330082,3.175494,3.195338,3.19587,9.093897,12.348799,7.854215,882.018258,2.869547,2.33506,1.155463,1.161693,1.161859,2.207604,2.513559,2.06105,132.905,207.2,126.904
193,1.8381,-15769.61926,-15780.23265,17.655255,10.364032,3.175927,3.195313,3.195761,9.093897,12.348369,7.850163,881.532465,2.871033,2.338341,1.1556,1.161685,1.161825,2.207603,2.513524,2.060534,132.905,207.2,126.904
194,1.8384,-15769.5644,-15780.22582,17.679366,10.350194,3.175273,3.19443,3.195858,9.09319,12.346853,7.846628,880.958783,2.872398,2.337005,1.155393,1.161409,1.161856,2.207526,2.513401,2.060084,132.905,207.2,126.904
195,1.8438,-15769.50881,-15780.21697,17.676326,10.379858,3.176593,3.19085,3.196295,9.088639,12.350015,7.842543,880.284867,2.872226,2.339867,1.155809,1.160287,1.161992,2.207025,2.513657,2.059563,132.905,207.2,126.904
196,1.8409,-15769.45414,-15780.21134,17.704864,10.388623,3.17573,3.192371,3.195412,9.091316,12.346314,7.838304,879.804453,2.873839,2.340711,1.155538,1.160764,1.161716,2.20732,2.513358,2.059023,132.905,207.2,126.904
197,1.8385,-15769.39951,-15780.20741,17.719257,10.389419,3.174852,3.19319,3.194833,9.092142,12.342927,7.836696,879.462572,2.874652,2.340788,1.155261,1.16102,1.161535,2.20741,2.513083,2.058817,132.905,207.2,126.904
198,1.836,-15769.07128,-15780.16799,17.909105,10.391492,3.173222,3.194687,3.192043,9.097932,12.337741,7.806641,876.279286,2.885309,2.340987,1.154748,1.161489,1.160661,2.208047,2.512663,2.054975,132.905,207.2,126.904
199,1.8401,-15769.28993,-15780.19264,17.819924,10.389074,3.174942,3.194015,3.194107,9.094232,12.34385,7.82363,878.263807,2.880317,2.340755,1.155289,1.161279,1.161308,2.20764,2.513158,2.057149,132.905,207.2,126.904
200,1.8455,-15769.23466,-15780.18514,17.805021,10.405398,3.175562,3.190054,3.194984,9.087169,12.344928,7.824013,877.701288,2.87948,2.342325,1.155485,1.160038,1.161582,2.206863,2.513245,2.057198,132.905,207.2,126.904
201,1.8417,-15769.1803,-15780.17994,17.833734,10.40173,3.174195,3.191713,3.194281,9.090663,12.340118,7.820079,877.255298,2.881092,2.341972,1.155054,1.160558,1.161362,2.207248,2.512856,2.056695,132.905,207.2,126.904
202,1.8195,-15769.12609,-15780.18859,17.696389,10.214963,3.171292,3.191819,3.18879,9.091813,12.341045,7.824205,877.895148,2.873361,2.323854,1.154139,1.160591,1.159641,2.207374,2.512931,2.057222,132.905,207.2,126.904
203,1.836,-15769.07128,-15780.16799,17.909105,10.391492,3.173222,3.194687,3.192043,9.097932,12.337741,7.806641,876.279286,2.885309,2.340987,1.154748,1.161489,1.160661,2.208047,2.512663,2.054975,132.905,207.2,126.904
204,1.849,-15769.01563,-15780.15853,17.924251,10.432364,3.175547,3.189194,3.194284,9.087925,12.343773,7.8055,875.615376,2.886155,2.344913,1.15548,1.159768,1.161363,2.206947,2.513152,2.054829,132.905,207.2,126.904
205,1.8233,-15768.96244,-15780.1632,17.874952,10.230959,3.17125,3.193658,3.188052,9.095384,12.340632,7.803311,875.865353,2.8834,2.325418,1.154126,1.161167,1.15941,2.207767,2.512897,2.054548,132.905,207.2,126.904
206,1.8215,-15768.90766,-15780.16034,17.835422,10.232557,3.170307,3.191946,3.188161,9.094066,12.336787,7.804969,875.651517,2.881186,2.325575,1.153828,1.160631,1.159444,2.207622,2.512586,2.054761,132.905,207.2,126.904
207,1.8208,-15768.85312,-15780.15323,17.854277,10.238132,3.17008,3.191853,3.187487,9.093994,12.335681,7.800775,875.095718,2.882243,2.326119,1.153757,1.160602,1.159233,2.207614,2.512496,2.054223,132.905,207.2,126.904
208,1.822,-15768.79869,-15780.14525,17.90928,10.245987,3.170041,3.192474,3.187319,9.094925,12.335245,7.794672,874.469644,2.885319,2.326886,1.153745,1.160796,1.15918,2.207717,2.512461,2.05344,132.905,207.2,126.904
209,1.8239,-15768.74426,-15780.13646,17.966702,10.257782,3.169996,3.192942,3.187315,9.095777,12.334538,7.788313,873.787973,2.88852,2.328037,1.15373,1.160943,1.159179,2.20781,2.512403,2.052624,132.905,207.2,126.904
210,1.8241,-15768.68978,-15780.12999,17.989233,10.263598,3.169717,3.192716,3.187199,9.096147,12.33322,7.784414,873.292753,2.889773,2.328603,1.153642,1.160872,1.159143,2.207851,2.512296,2.052124,132.905,207.2,126.904
211,1.8244,-15768.63489,-15780.12853,17.946372,10.258573,3.169099,3.189788,3.188339,9.097427,12.331268,7.783826,873.211401,2.887388,2.328114,1.153447,1.159954,1.1595,2.207992,2.512138,2.052048,132.905,207.2,126.904
212,1.825,-15768.58041,-15780.1212,17.974797,10.285239,3.168974,3.189902,3.188346,9.100135,12.329351,7.777788,872.658245,2.888971,2.33071,1.153408,1.15999,1.159502,2.208289,2.511983,2.051272,132.905,207.2,126.904
213,1.8235,-15768.52625,-15780.11485,17.998476,10.265863,3.168654,3.190182,3.187129,9.096395,12.329262,7.776596,872.159545,2.890287,2.328824,1.153307,1.160078,1.159121,2.207878,2.511975,2.051119,132.905,207.2,126.904
214,1.8321,-15768.47157,-15780.09989,18.084658,10.37163,3.167235,3.19009,3.190966,9.100649,12.317176,7.770795,871.061786,2.895064,2.339074,1.152859,1.160049,1.160324,2.208346,2.510995,2.050372,132.905,207.2,126.904
215,1.8344,-15768.41757,-15780.09089,18.150849,10.376261,3.167032,3.190695,3.191228,9.101527,12.316317,7.764389,870.366966,2.898717,2.339521,1.152795,1.160239,1.160406,2.208442,2.510925,2.049548,132.905,207.2,126.904
216,1.8323,-15768.36309,-15780.08611,18.145712,10.369555,3.166748,3.190124,3.190439,9.102149,12.31581,7.761135,870.02585,2.898434,2.338874,1.152705,1.16006,1.160158,2.208511,2.510884,2.049129,132.905,207.2,126.904
217,1.8386,-15768.30886,-15780.07428,18.242616,10.422878,3.167548,3.191036,3.191356,9.105049,12.315861,7.750842,869.152357,2.90376,2.344003,1.152958,1.160346,1.160446,2.208829,2.510888,2.047801,132.905,207.2,126.904
218,1.8337,-15768.25495,-15780.07196,18.241156,10.371536,3.166587,3.191352,3.190033,9.105201,12.315551,7.749178,868.958539,2.90368,2.339065,1.152654,1.160445,1.160031,2.208846,2.510863,2.047587,132.905,207.2,126.904
219,1.8347,-15768.20095,-15780.06212,18.298807,10.427201,3.16705,3.193261,3.189189,9.10716,12.313997,7.741953,868.225522,2.906836,2.344418,1.152801,1.161043,1.159767,2.209061,2.510737,2.046654,132.905,207.2,126.904
220,1.8326,-15768.14696,-15780.05645,18.30999,10.394336,3.166137,3.192883,3.188646,9.106285,12.31264,7.739755,867.799985,2.907447,2.341261,1.152512,1.160924,1.159597,2.208965,2.510626,2.04637,132.905,207.2,126.904
221,1.8359,-15768.09282,-15780.04794,18.356933,10.43052,3.166388,3.192941,3.189231,9.107772,12.311504,7.733721,867.185002,2.910007,2.344736,1.152591,1.160943,1.15978,2.209128,2.510534,2.04559,132.905,207.2,126.904
222,1.8362,-15768.03883,-15780.04879,18.379161,10.435628,3.166249,3.192936,3.189022,9.108632,12.310797,7.729471,866.740484,2.911217,2.345226,1.152548,1.160941,1.159714,2.209222,2.510477,2.04504,132.905,207.2,126.904
223,1.83,-15767.98458,-15780.03716,18.31752,10.380279,3.166721,3.190624,3.185244,9.099026,12.315866,7.731531,866.413871,2.907858,2.339908,1.152697,1.160217,1.158529,2.208167,2.510888,2.045307,132.905,207.2,126.904
224,1.8301,-15767.93082,-15780.03076,18.364445,10.38243,3.166258,3.191647,3.185365,9.102125,12.314197,7.725691,865.93686,2.910416,2.340115,1.15255,1.160537,1.158567,2.208508,2.510753,2.044551,132.905,207.2,126.904
225,1.8319,-15767.87659,-15780.02241,18.405525,10.404759,3.164824,3.191629,3.18706,9.106491,12.307527,7.721003,865.357564,2.912651,2.342263,1.152098,1.160532,1.159099,2.208987,2.510211,2.043944,132.905,207.2,126.904
226,1.8311,-15767.82266,-15780.01568,18.404344,10.405631,3.164868,3.190804,3.186055,9.103974,12.307617,7.718795,864.877221,2.912587,2.342347,1.152111,1.160273,1.158783,2.208711,2.510218,2.043658,132.905,207.2,126.904
227,1.8303,-15767.76887,-15780.01175,18.413771,10.393481,3.165798,3.190864,3.18426,9.099836,12.311907,7.717032,864.588018,2.913099,2.341179,1.152405,1.160292,1.15822,2.208256,2.510567,2.04343,132.905,207.2,126.904
228,1.8307,-15767.71503,-15780.00422,18.447722,10.385242,3.165749,3.190666,3.184059,9.101624,12.312543,7.710359,864.054717,2.914941,2.340386,1.15239,1.16023,1.158157,2.208453,2.510619,2.042565,132.905,207.2,126.904
229,1.8306,-15767.66121,-15779.9984,18.467425,10.396106,3.165305,3.190888,3.184013,9.102099,12.310201,7.707735,863.641502,2.916008,2.341431,1.15225,1.160299,1.158143,2.208505,2.510428,2.042224,132.905,207.2,126.904
230,1.8317,-15767.60739,-15779.98967,18.504796,10.392037,3.165325,3.190531,3.183849,9.103132,12.310807,7.701037,863.031321,2.91803,2.34104,1.152256,1.160187,1.158091,2.208618,2.510478,2.041355,132.905,207.2,126.904
231,1.8332,-15767.55367,-15779.98371,18.5542,10.45011,3.163746,3.192481,3.185871,9.110296,12.301254,7.697197,862.609954,2.920696,2.346613,1.151757,1.160798,1.158726,2.209405,2.509701,2.040856,132.905,207.2,126.904
232,1.8399,-15767.49968,-15779.97311,18.63839,10.485158,3.165009,3.192474,3.18691,9.115162,12.304516,7.684657,861.893124,2.925223,2.349961,1.152156,1.160796,1.159052,2.209939,2.509966,2.039226,132.905,207.2,126.904
233,1.8384,-15767.44592,-15779.96609,18.607504,10.528163,3.163105,3.191474,3.187484,9.112318,12.29403,7.689282,861.408114,2.923565,2.354054,1.151554,1.160483,1.159232,2.209627,2.509114,2.039827,132.905,207.2,126.904
234,1.8356,-15767.39234,-15779.961,18.630367,10.49029,3.162972,3.192036,3.186027,9.112295,12.296139,7.684786,861.04985,2.924793,2.35045,1.151512,1.160659,1.158775,2.209625,2.509285,2.039243,132.905,207.2,126.904
235,1.8382,-15767.33862,-15779.95483,18.643243,10.532874,3.162571,3.191466,3.187118,9.113193,12.291887,7.68294,860.630189,2.925484,2.354501,1.151385,1.16048,1.159117,2.209723,2.508939,2.039002,132.905,207.2,126.904
236,1.8484,-15767.28392,-15779.94192,18.706062,10.622741,3.165023,3.190433,3.18703,9.101023,12.295043,7.684027,859.823153,2.928848,2.362997,1.15216,1.160157,1.159089,2.208387,2.509196,2.039144,132.905,207.2,126.904
237,1.8366,-15767.23148,-15779.94143,18.707268,10.457428,3.163534,3.191309,3.184309,9.110307,12.30082,7.671599,859.711937,2.928912,2.347313,1.15169,1.160431,1.158235,2.209406,2.509666,2.037525,132.905,207.2,126.904
238,1.8373,-15767.1779,-15779.93336,18.740765,10.501864,3.163215,3.192158,3.184635,9.114737,12.297056,7.665343,859.165564,2.930701,2.351553,1.151589,1.160697,1.158338,2.209893,2.50936,2.036709,132.905,207.2,126.904
239,1.8393,-15767.12456,-15779.92483,18.778762,10.52485,3.162136,3.192423,3.185824,9.116418,12.291485,7.662145,858.576382,2.932727,2.353739,1.151248,1.16078,1.158711,2.210077,2.508907,2.036292,132.905,207.2,126.904
240,1.836,-15767.07121,-15779.91988,18.774041,10.45801,3.162538,3.19133,3.183587,9.11311,12.297335,7.658221,858.233558,2.932475,2.347368,1.151375,1.160438,1.158009,2.209714,2.509383,2.03578,132.905,207.2,126.904
