Structure #,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,Length4,Length5,Length6,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc
a0.0150-c0.0300,1.663900,-15780.763519,-15780.763519,14.914758,6.213671,3.360387,3.226305,3.211031,3.360374,3.226303,3.211033,8.926721,13.292500,8.474120,1005.525791,2.702351,1.826752,1.212056,1.171338,1.166592,2.189049,2.587200,2.137017
a0.0200-c-0.0300,1.872500,-15780.911494,-15780.911494,11.548642,9.271916,3.229522,3.258280,3.260838,3.229510,3.258278,3.260840,8.881407,12.582100,8.998292,1005.529957,2.446568,2.226990,1.172334,1.181199,1.181984,2.183960,2.532275,2.197035
a0.0200-c-0.0250,1.881400,-15780.918656,-15780.918656,11.780900,8.932657,3.238835,3.254798,3.254466,3.238823,3.254796,3.254468,8.881407,12.643500,8.954611,1005.531858,2.466480,2.189714,1.175214,1.180130,1.180028,2.183960,2.537143,2.192169
a0.0200-c-0.0200,1.870800,-15780.921364,-15780.921364,12.007791,8.606623,3.248753,3.252224,3.247256,3.248741,3.252222,3.247258,8.881407,12.705400,8.910930,1005.525689,2.485556,2.152532,1.178271,1.179339,1.177810,2.183960,2.542027,2.187279
a0.0200-c-0.0150,1.836100,-15780.917914,-15780.917914,12.231687,8.216534,3.258323,3.251316,3.237217,3.258311,3.251315,3.237219,8.881407,12.768000,8.867249,1005.526620,2.504030,2.106148,1.181213,1.179060,1.174714,2.183960,2.546942,2.182365
a0.0200-c-0.0100,1.808300,-15780.912537,-15780.912537,12.315170,8.068597,3.271744,3.245169,3.231052,3.271731,3.245167,3.231054,8.881407,12.831200,8.823568,1005.526000,2.510832,2.087980,1.185323,1.177167,1.172808,2.183960,2.551880,2.177426
a0.0200-c-0.0050,1.781700,-15780.902071,-15780.902071,12.413452,7.916923,3.285306,3.239558,3.225006,3.285294,3.239557,3.225007,8.881407,12.895100,8.779887,1005.530926,2.518781,2.069003,1.189460,1.175437,1.170935,2.183960,2.556847,2.172464
a0.0200-c0.0000,1.756700,-15780.886771,-15780.886771,12.537412,7.750103,3.298817,3.234129,3.219814,3.298804,3.234127,3.219816,8.881407,12.959600,8.736206,1005.532827,2.528717,2.047706,1.193564,1.173760,1.169324,2.183960,2.561837,2.167476
a0.0200-c0.0050,1.733700,-15780.866980,-15780.866980,12.697343,7.556959,3.312134,3.228009,3.216640,3.312121,3.228007,3.216642,8.881407,13.024700,8.692525,1005.531004,2.541393,2.022469,1.197593,1.171866,1.168337,2.183960,2.566848,2.162463
a0.0200-c0.0100,1.711400,-15780.842391,-15780.842391,12.853447,7.360631,3.325694,3.220964,3.214351,3.325681,3.220962,3.214354,8.881407,13.090500,8.648844,1005.532439,2.553612,1.996146,1.201678,1.169681,1.167626,2.183960,2.571887,2.157426
