Structure #,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,Length4,Length5,Length6,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc
b-0.0200-c0.0200,1.759600,-15780.902470,-15780.902470,12.677594,7.466788,3.291739,3.230789,3.234400,3.291726,3.230787,3.234402,9.066200,12.954469,8.561482,1005.527257,2.539836,2.010465,1.191416,1.172726,1.173844,2.204553,2.561441,2.147273
b-0.0200-c0.0250,1.767600,-15780.902323,-15780.902323,12.867438,7.295478,3.289024,3.241583,3.232213,3.289011,3.241581,3.232215,9.112700,12.954469,8.517801,1005.527993,2.554700,1.987255,1.190591,1.176062,1.173167,2.209669,2.561441,2.142158
b-0.0200-c0.0300,1.770700,-15780.898826,-15780.898826,12.923833,7.193908,3.287437,3.244234,3.233910,3.287424,3.244232,3.233912,9.159600,12.954469,8.474120,1005.520014,2.559073,1.973235,1.190108,1.176879,1.173692,2.214803,2.561441,2.137017
b-0.0150-c-0.0300,1.789900,-15780.845717,-15780.845717,12.298133,8.076347,3.289476,3.223548,3.239258,3.289463,3.223546,3.239260,8.668600,12.890967,8.998292,1005.528850,2.509447,2.088940,1.190728,1.170483,1.175344,2.159707,2.556527,2.197035
b-0.0150-c-0.0250,1.793100,-15780.860039,-15780.860039,12.366024,8.090818,3.289049,3.229698,3.234890,3.289036,3.229696,3.234892,8.710900,12.890967,8.954611,1005.530483,2.514953,2.090730,1.190598,1.172389,1.173995,2.164575,2.556527,2.192169
b-0.0150-c-0.0200,1.789700,-15780.870821,-15780.870821,12.366673,8.036899,3.287696,3.239396,3.224391,3.287684,3.239394,3.224393,8.753600,12.890967,8.910930,1005.530426,2.515005,2.084043,1.190187,1.175387,1.170744,2.169465,2.556527,2.187279
b-0.0150-c-0.0150,1.786400,-15780.882884,-15780.882884,12.369982,7.998727,3.286589,3.239656,3.223887,3.286577,3.239654,3.223889,8.796700,12.890967,8.867249,1005.528005,2.515273,2.079282,1.189850,1.175467,1.170588,2.174377,2.556527,2.182365
b-0.0150-c-0.0100,1.784200,-15780.893880,-15780.893880,12.381170,7.963706,3.285520,3.239767,3.224180,3.285507,3.239765,3.224181,8.840200,12.890967,8.823568,1005.522543,2.516177,2.074895,1.189525,1.175501,1.170679,2.179310,2.556527,2.177426
b-0.0150-c-0.0050,1.783300,-15780.903432,-15780.903431,12.408793,7.924188,3.284354,3.239897,3.225496,3.284341,3.239895,3.225498,8.884200,12.890967,8.779887,1005.524683,2.518405,2.069920,1.189170,1.175541,1.171087,2.184274,2.556527,2.172464
b-0.0150-c0.0000,1.783500,-15780.910967,-15780.910967,12.452985,7.869991,3.282973,3.239317,3.228585,3.282961,3.239315,3.228587,8.928700,12.890967,8.736206,1005.533580,2.521960,2.063057,1.188749,1.175362,1.172044,2.189271,2.556527,2.167476
b-0.0150-c0.0050,1.783100,-15780.916069,-15780.916069,12.489888,7.803239,3.281492,3.236038,3.234282,3.281479,3.236036,3.234284,8.973500,12.890967,8.692525,1005.525978,2.524919,2.054539,1.188298,1.174350,1.173807,2.194276,2.556527,2.162463
b-0.0150-c0.0100,1.780700,-15780.918229,-15780.918229,12.472918,7.757578,3.280466,3.232699,3.238045,3.280453,3.232697,3.238047,9.018800,12.890967,8.648844,1005.523669,2.523560,2.048670,1.187986,1.173317,1.174970,2.199311,2.556527,2.157426
b-0.0150-c0.0150,1.780900,-15780.918957,-15780.918957,12.494550,7.698496,3.279219,3.234132,3.238877,3.279206,3.234130,3.238879,9.064600,12.890967,8.605163,1005.525809,2.525293,2.041025,1.187605,1.173760,1.175227,2.204377,2.556527,2.152362
b-0.0150-c0.0200,1.783600,-15780.918224,-15780.918224,12.561562,7.606968,3.277532,3.237112,3.240299,3.277520,3.237110,3.240301,9.110900,12.890967,8.561482,1005.531552,2.530642,2.029065,1.187091,1.174681,1.175666,2.209471,2.556527,2.147273
b-0.0150-c0.0250,1.792000,-15780.916631,-15780.916631,12.749934,7.441075,3.274915,3.248086,3.238432,3.274902,3.248084,3.238434,9.157600,12.890967,8.517801,1005.529075,2.545526,2.007015,1.186292,1.178066,1.175089,2.214584,2.556527,2.142158
b-0.0150-c0.0300,1.794900,-15780.911487,-15780.911487,12.802782,7.342876,3.273378,3.251154,3.239698,3.273365,3.251152,3.239700,9.204800,12.890967,8.474120,1005.528624,2.549662,1.993731,1.185822,1.179010,1.175480,2.219725,2.556527,2.137017
b-0.0100-c-0.0300_new,1.821300,-15780.868072,-15780.868072,12.205983,8.299499,3.276645,3.234889,3.240641,3.276632,3.234887,3.240642,8.711500,12.827464,8.998292,1005.527250,2.501926,2.116195,1.186820,1.173995,1.175771,2.164644,2.551589,2.197035
b-0.0100-c-0.0250,1.818400,-15780.882384,-15780.882384,12.235865,8.255428,3.275244,3.235972,3.239933,3.275231,3.235971,3.239935,8.754000,12.827464,8.954611,1005.527810,2.504371,2.110871,1.186392,1.174329,1.175553,2.169511,2.551589,2.192169
b-0.0100-c-0.0200,1.814700,-15780.892542,-15780.892542,12.283818,8.154785,3.273178,3.245032,3.231147,3.273166,3.245030,3.231148,8.796900,12.827464,8.910930,1005.526465,2.508283,2.098605,1.185761,1.177125,1.172837,2.174399,2.551589,2.187279
b-0.0100-c-0.0150,1.811400,-15780.903339,-15780.903339,12.295324,8.104642,3.271907,3.245411,3.230747,3.271894,3.245409,3.230749,8.840200,12.827464,8.867249,1005.522543,2.509219,2.092437,1.185373,1.177242,1.172713,2.179310,2.551589,2.182365
b-0.0100-c-0.0100,1.809800,-15780.913539,-15780.913539,12.311110,8.075517,3.270888,3.245524,3.231477,3.270876,3.245522,3.231479,8.884000,12.827464,8.823568,1005.526689,2.510502,2.088837,1.185062,1.177277,1.172939,2.184252,2.551589,2.177426
b-0.0100-c-0.0050,1.809100,-15780.921685,-15780.921685,12.335421,8.041815,3.269805,3.245512,3.233044,3.269792,3.245511,3.233046,8.928200,12.827464,8.779887,1005.526801,2.512475,2.084655,1.184730,1.177273,1.173424,2.189215,2.551589,2.172464
b-0.0100-c0.0000,1.802900,-15780.925894,-15780.925894,12.282722,7.987184,3.268737,3.240468,3.236042,3.268724,3.240467,3.236043,8.972900,12.827464,8.736206,1005.533413,2.508194,2.077838,1.184404,1.175718,1.174351,2.194209,2.551589,2.167476
b-0.0100-c0.0050,1.798200,-15780.926085,-15780.926085,12.210203,7.978769,3.268329,3.244072,3.229914,3.268316,3.244070,3.229916,9.017900,12.827464,8.692525,1005.523383,2.502272,2.076784,1.184279,1.176829,1.172456,2.199211,2.551589,2.162463
b-0.0100-c0.0100,1.800600,-15780.929522,-15780.929522,12.261580,7.944507,3.267164,3.245826,3.232050,3.267152,3.245824,3.232052,9.063500,12.827464,8.648844,1005.529491,2.506471,2.072481,1.183922,1.177370,1.173117,2.204255,2.551589,2.157426
b-0.0100-c0.0150,1.803600,-15780.930065,-15780.930065,12.343063,7.861307,3.265385,3.241021,3.242351,3.265372,3.241019,3.242353,9.109500,12.827464,8.605163,1005.528650,2.513094,2.061953,1.183378,1.175888,1.176299,2.209318,2.551589,2.152362
b-0.0100-c0.0200,1.809400,-15780.928792,-15780.928792,12.467874,7.742780,3.263274,3.244264,3.246511,3.263262,3.244262,3.246513,9.156000,12.827464,8.561482,1005.531172,2.523155,2.046761,1.182731,1.176888,1.177581,2.214409,2.551589,2.147273
b-0.0100-c0.0250,1.818100,-15780.925642,-15780.925642,12.635594,7.600430,3.261059,3.255108,3.244650,3.261046,3.255107,3.244652,9.202900,12.827464,8.517801,1005.525289,2.536518,2.028205,1.182052,1.180226,1.177008,2.219519,2.551589,2.142158
b-0.0100-c0.0300,1.820500,-15780.918780,-15780.918780,12.682597,7.506426,3.259580,3.258180,3.245805,3.259568,3.258178,3.245807,9.250400,12.827464,8.474120,1005.532068,2.540231,2.015759,1.181598,1.181169,1.177363,2.224667,2.551589,2.137017
b-0.0050-c-0.0300,1.848200,-15780.886498,-15780.886498,12.067682,8.488595,3.263280,3.241276,3.245590,3.263267,3.241275,3.245592,8.754800,12.763962,8.998292,1005.522564,2.490531,2.138724,1.182733,1.175967,1.177297,2.169602,2.546626,2.197035
b-0.0050-c-0.0250,1.845200,-15780.899756,-15780.899756,12.102091,8.438442,3.261780,3.242087,3.245372,3.261768,3.242085,3.245374,8.797500,12.763962,8.954611,1005.521839,2.493378,2.132798,1.182273,1.176217,1.177230,2.174468,2.546626,2.192169
b-0.0050-c-0.0200,1.841700,-15780.909883,-15780.909883,12.187607,8.313727,3.259262,3.249668,3.239131,3.259250,3.249666,3.239133,8.840600,12.763962,8.910930,1005.518996,2.500420,2.117908,1.181501,1.178553,1.175305,2.179355,2.546626,2.187279
b-0.0050-c-0.0150,1.837800,-15780.918722,-15780.918722,12.227326,8.224749,3.257410,3.251754,3.237632,3.257398,3.251752,3.237634,8.884200,12.763962,8.867249,1005.524683,2.503673,2.107148,1.180932,1.179195,1.174842,2.184274,2.546626,2.182365
b-0.0050-c-0.0100,1.834800,-15780.927280,-15780.927280,12.237717,8.174851,3.256143,3.249741,3.240103,3.256130,3.249739,3.240104,8.928200,12.763962,8.823568,1005.526801,2.504523,2.101062,1.180543,1.178575,1.175605,2.189215,2.546626,2.177426
b-0.0050-c-0.0050,1.830600,-15780.932817,-15780.932817,12.235588,8.104602,3.254681,3.246561,3.243136,3.254668,3.246559,3.243138,8.972600,12.763962,8.779887,1005.524683,2.504349,2.092432,1.180094,1.177596,1.176541,2.194175,2.546626,2.172464
b-0.0050-c0.0000,1.825400,-15780.934812,-15780.934812,12.207047,8.039693,3.253394,3.248284,3.240077,3.253382,3.248282,3.240079,9.017500,12.763962,8.736206,1005.528809,2.502013,2.084391,1.179699,1.178127,1.175597,2.199167,2.546626,2.167476
b-0.0050-c0.0050,1.825300,-15780.936545,-15780.936545,12.202813,8.038229,3.252802,3.255397,3.234026,3.252790,3.255395,3.234028,9.062800,12.763962,8.692525,1005.527247,2.501666,2.084209,1.179517,1.180314,1.173728,2.204178,2.546626,2.162463
b-0.0050-c0.0100,1.829100,-15780.939062,-15780.939062,12.255582,8.020118,3.251888,3.250666,3.243610,3.251875,3.250664,3.243612,9.108500,12.763962,8.648844,1005.519330,2.505982,2.081953,1.179236,1.178860,1.176687,2.209208,2.546626,2.157426
b-0.0050-c0.0150,1.829900,-15780.936441,-15780.936442,12.276963,7.974983,3.250757,3.249611,3.247694,3.250744,3.249609,3.247695,9.154800,12.763962,8.605163,1005.526355,2.507725,2.076310,1.178888,1.178535,1.177945,2.214278,2.546626,2.152362
b-0.0050-c0.0200,1.833600,-15780.932592,-15780.932592,12.338145,7.902976,3.249349,3.249799,3.252800,3.249337,3.249797,3.252802,9.201500,12.763962,8.561482,1005.525463,2.512696,2.067239,1.178455,1.178593,1.179516,2.219367,2.546626,2.147273
b-0.0050-c0.0250,1.823100,-15780.929577,-15780.929577,12.516237,7.820719,3.248146,3.265327,3.247887,3.248133,3.265325,3.247889,9.248700,12.763962,8.517801,1005.526857,2.527027,2.056777,1.178084,1.183360,1.178005,2.224483,2.546626,2.142158
b-0.0050-c0.0300,1.811100,-15780.921203,-15780.921203,12.560708,7.776150,3.247279,3.270147,3.246801,3.247267,3.270145,3.246803,9.296300,12.763962,8.474120,1005.518884,2.530574,2.051061,1.177818,1.184835,1.177670,2.229616,2.546626,2.137017
b0.0000-c-0.0300,1.876800,-15780.899935,-15780.899935,11.918810,8.704054,3.250410,3.247135,3.251207,3.250398,3.247133,3.251209,8.798600,12.700460,8.998292,1005.525535,2.478118,2.163789,1.178781,1.177773,1.179026,2.174593,2.541638,2.197035
b0.0000-c-0.0250,1.874100,-15780.912032,-15780.912032,11.952826,8.660587,3.249007,3.248242,3.250877,3.248995,3.248240,3.250879,8.841500,12.700460,8.954611,1005.523261,2.480968,2.158782,1.178350,1.178114,1.178925,2.179457,2.541638,2.192169
b0.0000-c-0.0200,1.873200,-15780.922058,-15780.922058,11.993437,8.628131,3.247828,3.252647,3.247726,3.247816,3.252646,3.247728,8.884900,12.700460,8.910930,1005.529974,2.484360,2.155028,1.177987,1.179469,1.177955,2.184353,2.541638,2.187279
b0.0000-c-0.0150,1.865600,-15780.928362,-15780.928362,12.152963,8.368852,3.243289,3.258947,3.243822,3.243276,3.258945,3.243824,8.928600,12.700460,8.867249,1005.522318,2.497573,2.124517,1.176588,1.181404,1.176752,2.189260,2.541638,2.182365
b0.0000-c-0.0100,1.856700,-15780.932802,-15780.932802,12.199061,8.177719,3.240051,3.250232,3.252734,3.240038,3.250230,3.252736,8.972800,12.700460,8.823568,1005.522207,2.501359,2.101413,1.175589,1.178726,1.179496,2.194198,2.541638,2.177426
b0.0000-c-0.0050,1.853000,-15780.937151,-15780.937151,12.208120,8.106006,3.238515,3.252553,3.250682,3.238503,3.252551,3.250683,9.017500,12.700460,8.779887,1005.528809,2.502101,2.092605,1.175115,1.179440,1.178865,2.199167,2.541638,2.172464
b0.0000-c0.0000,1.833400,-15780.940441,-15780.940441,12.205074,8.098548,3.237837,3.259445,3.244647,3.237824,3.259443,3.244648,9.062600,12.700460,8.736206,1005.530196,2.501852,2.091685,1.174905,1.181557,1.177006,2.204156,2.541638,2.167476
b0.0000-c0.0050,1.814000,-15780.939925,-15780.939925,12.200304,8.096864,3.237242,3.266642,3.238650,3.237230,3.266640,3.238652,9.108100,12.700460,8.692525,1005.525702,2.501461,2.091477,1.174722,1.183763,1.175157,2.209164,2.541638,2.162463
b0.0000-c0.0100,1.821000,-15780.940980,-15780.940980,12.209847,8.122821,3.237078,3.258746,3.250343,3.237065,3.258745,3.250345,9.154100,12.700460,8.648844,1005.525646,2.502243,2.094678,1.174671,1.181343,1.178761,2.214202,2.541638,2.157426
b0.0000-c0.0150,1.819700,-15780.937212,-15780.937212,12.228656,8.096840,3.236283,3.255984,3.256855,3.236270,3.255982,3.256857,9.200600,12.700460,8.605163,1005.529197,2.503782,2.091474,1.174425,1.180495,1.180762,2.219269,2.541638,2.152362
b0.0000-c0.0200,1.813000,-15780.931083,-15780.931083,12.253095,8.046015,3.235187,3.256965,3.259567,3.235175,3.256964,3.259569,9.247500,12.700460,8.561482,1005.524648,2.505779,2.085177,1.174087,1.180796,1.181594,2.224353,2.541638,2.147273
b0.0000-c0.0250,1.797200,-15780.928589,-15780.928589,12.380912,8.167663,3.237174,3.275774,3.250964,3.237162,3.275772,3.250966,9.294900,12.700460,8.517801,1005.522151,2.516156,2.100183,1.174701,1.186554,1.178952,2.229466,2.541638,2.142158
b0.0000-c0.0300,1.786800,-15780.918230,-15780.918230,12.443048,8.102976,3.235980,3.280178,3.250911,3.235967,3.280176,3.250913,9.342800,12.700460,8.474120,1005.520875,2.521162,2.092231,1.174332,1.187898,1.178935,2.234606,2.541638,2.137017
b0.0050-c-0.0300,1.893000,-15780.908399,-15780.908399,11.737444,8.967861,3.238439,3.252178,3.257469,3.238427,3.252177,3.257471,8.842900,12.636957,8.998292,1005.535307,2.462784,2.193647,1.175092,1.179325,1.180951,2.179615,2.536626,2.197035
b0.0050-c-0.0250,1.878700,-15780.919148,-15780.919148,11.761260,8.964957,3.237693,3.255647,3.254793,3.237681,3.255645,3.254795,8.886000,12.636957,8.954611,1005.531222,2.464811,2.193323,1.174861,1.180391,1.180129,2.184477,2.536626,2.192169
b0.0050-c-0.0200,1.866900,-15780.928280,-15780.928280,11.797460,8.924491,3.236363,3.257509,3.254271,3.236351,3.257507,3.254273,8.929600,12.636957,8.910930,1005.535859,2.467884,2.188799,1.174450,1.180963,1.179968,2.189372,2.536626,2.187279
b0.0050-c-0.0150,1.849600,-15780.934486,-15780.934486,11.937098,8.748704,3.232896,3.263925,3.250674,3.232884,3.263923,3.250676,8.973500,12.636957,8.867249,1005.525978,2.479651,2.168906,1.173378,1.182930,1.178862,2.194276,2.536626,2.182365
b0.0050-c-0.0100,1.837600,-15780.939172,-15780.939172,12.005513,8.681768,3.231246,3.266615,3.250090,3.231234,3.266614,3.250092,9.018000,12.636957,8.823568,1005.534534,2.485366,2.161225,1.172868,1.183754,1.178683,2.199223,2.536626,2.177426
b0.0050-c-0.0050,1.832500,-15780.940669,-15780.940669,12.129807,8.369471,3.225956,3.261833,3.256933,3.225944,3.261831,3.256934,9.062800,12.636957,8.779887,1005.527247,2.495666,2.124591,1.171229,1.182289,1.180786,2.204178,2.536626,2.172464
b0.0050-c0.0000,1.812800,-15780.939627,-15780.939627,12.186865,8.202815,3.222941,3.268108,3.252015,3.222929,3.268106,3.252017,9.108200,12.636957,8.736206,1005.536742,2.500359,2.104477,1.170294,1.184211,1.179275,2.209175,2.536626,2.167476
b0.0050-c0.0050,1.797300,-15780.937980,-15780.937980,12.184133,8.194185,3.222264,3.272917,3.248699,3.222252,3.272915,3.248701,9.153900,12.636957,8.692525,1005.529069,2.500135,2.103425,1.170084,1.185682,1.178255,2.214180,2.536626,2.162463
b0.0050-c0.0100,1.805000,-15780.936720,-15780.936720,12.155473,8.257107,3.222776,3.263070,3.261396,3.222763,3.263068,3.261398,9.200200,12.636957,8.648844,1005.536521,2.497780,2.111074,1.170243,1.182668,1.182155,2.219225,2.536626,2.157426
b0.0050-c0.0150,1.799700,-15780.931657,-15780.931657,12.155788,8.251969,3.222353,3.262566,3.265218,3.222340,3.262564,3.265219,9.246900,12.636957,8.605163,1005.536355,2.497805,2.110452,1.170112,1.182514,1.183326,2.224288,2.536626,2.152362
b0.0050-c0.0200,1.792400,-15780.924358,-15780.924358,12.172662,8.215846,3.221530,3.264008,3.267571,3.221517,3.264006,3.267572,9.294000,12.636957,8.561482,1005.527910,2.499193,2.106065,1.169856,1.182956,1.184047,2.229369,2.536626,2.147273
b0.0050-c0.0250,1.774400,-15780.921829,-15780.921829,12.226788,8.510372,3.226464,3.285161,3.255707,3.226452,3.285160,3.255709,9.341700,12.636957,8.517801,1005.532050,2.503629,2.141286,1.171387,1.189416,1.180409,2.234488,2.536626,2.142158
b0.0050-c0.0300,1.764200,-15780.909409,-15780.909409,12.302635,8.421224,3.224840,3.289384,3.256096,3.224828,3.289382,3.256098,9.389800,12.636957,8.474120,1005.526364,2.509813,2.130755,1.170883,1.190700,1.180529,2.239624,2.536626,2.137017
b0.0100-c-0.0300,1.869400,-15780.911650,-15780.911650,11.519628,9.319909,3.228133,3.259165,3.261481,3.228120,3.259163,3.261482,8.887500,12.573455,8.998292,1005.528392,2.444052,2.232153,1.171904,1.181471,1.182181,2.184646,2.531588,2.197035
b0.0100-c-0.0250,1.859100,-15780.921618,-15780.921618,11.532696,9.309259,3.227250,3.259627,3.261910,3.227238,3.259626,3.261912,8.930900,12.573455,8.954611,1005.533610,2.445186,2.231009,1.171630,1.181613,1.182313,2.189517,2.531588,2.192169
b0.0100-c-0.0200,1.848100,-15780.929693,-15780.929693,11.514864,9.349049,3.227294,3.260987,3.261326,3.227281,3.260985,3.261328,8.974700,12.573455,8.910930,1005.535972,2.443639,2.235275,1.171644,1.182030,1.182134,2.194410,2.531588,2.187279
b0.0100-c-0.0150,1.841800,-15780.936613,-15780.936613,11.451939,9.397555,3.227578,3.258717,3.264560,3.227566,3.258715,3.264562,9.018900,12.573455,8.867249,1005.534818,2.438159,2.240450,1.171732,1.181334,1.183125,2.199322,2.531588,2.182365
b0.0100-c-0.0100,1.820800,-15780.938173,-15780.938173,11.717187,9.217814,3.223804,3.269876,3.257246,3.223792,3.269874,3.257247,9.063500,12.573455,8.823568,1005.529491,2.461057,2.221138,1.170562,1.184752,1.180882,2.204255,2.531588,2.177426
b0.0100-c-0.0050,1.813300,-15780.945105,-15780.945105,11.334733,9.636800,3.230961,3.271635,3.255787,3.230949,3.271633,3.255789,9.108600,12.573455,8.779887,1005.530370,2.427872,2.265589,1.172780,1.185290,1.180434,2.209219,2.531588,2.172464
b0.0100-c0.0000,1.808600,-15780.935201,-15780.935201,12.023287,8.578954,3.212389,3.264183,3.270242,3.212377,3.264182,3.270244,9.154200,12.573455,8.736206,1005.536631,2.486845,2.149312,1.167015,1.183010,1.184864,2.214213,2.531588,2.167476
b0.0100-c0.0050,1.797000,-15780.931386,-15780.931386,12.067699,8.471267,3.210210,3.266364,3.270524,3.210197,3.266363,3.270526,9.200200,12.573455,8.692525,1005.536521,2.490532,2.136680,1.166336,1.183678,1.184950,2.219225,2.531588,2.162463
b0.0100-c0.0100_new,1.784700,-15780.925638,-15780.925638,12.092704,8.400176,3.208626,3.269322,3.270072,3.208613,3.269320,3.270074,9.246600,12.573455,8.648844,1005.529381,2.492602,2.128253,1.165843,1.184583,1.184812,2.224256,2.531588,2.157426
b0.0100-c0.0150_new,1.782000,-15780.930918,-15780.930918,11.820898,9.084243,3.220763,3.279288,3.266426,3.220751,3.279286,3.266428,9.293600,12.573455,8.605163,1005.536191,2.469869,2.206541,1.169618,1.187626,1.183697,2.229326,2.531588,2.152362
b0.0100-c0.0200,1.765000,-15780.921842,-15780.921841,11.951033,9.021834,3.219083,3.289360,3.261055,3.219070,3.289358,3.261057,9.341000,12.573455,8.561482,1005.534434,2.480818,2.199648,1.169096,1.190693,1.182051,2.234413,2.531588,2.147273
b0.0100-c0.0250,1.754100,-15780.909861,-15780.909861,12.057102,8.923436,3.217126,3.294136,3.261072,3.217113,3.294134,3.261074,9.388900,12.573455,8.517801,1005.534159,2.489654,2.188681,1.168488,1.192144,1.182056,2.239528,2.531588,2.142158
b0.0100-c0.0300,1.745300,-15780.895838,-15780.895838,12.157729,8.899686,3.216362,3.299109,3.261435,3.216349,3.299107,3.261437,9.437300,12.573455,8.474120,1005.534544,2.497965,2.186016,1.168251,1.193652,1.182167,2.244670,2.531588,2.137017
b0.0150-c-0.0300,1.851900,-15780.910405,-15780.910405,11.283101,9.682553,3.218241,3.262559,3.269448,3.218229,3.262557,3.269450,8.932600,12.509953,8.998292,1005.526793,2.423306,2.270326,1.168835,1.182512,1.184621,2.189708,2.526525,2.197035
b0.0150-c-0.0250,1.841200,-15780.919180,-15780.919180,11.250308,9.746393,3.218717,3.263553,3.268729,3.218705,3.263551,3.268731,8.976100,12.509953,8.954611,1005.518541,2.420395,2.276897,1.168983,1.182816,1.184401,2.194565,2.526525,2.192169
b0.0150-c-0.0200,1.833100,-15780.926823,-15780.926823,11.209356,9.779885,3.218725,3.262608,3.270682,3.218712,3.262606,3.270684,9.020100,12.509953,8.910930,1005.518487,2.416749,2.280328,1.168985,1.182527,1.184999,2.199455,2.526525,2.187279
b0.0150-c-0.0150,1.808300,-15780.928927,-15780.928927,11.421523,9.651052,3.215707,3.276108,3.260006,3.215695,3.276107,3.260007,9.064600,12.509953,8.867249,1005.525809,2.435500,2.267067,1.168047,1.186656,1.181729,2.204377,2.526525,2.182365
b0.0150-c-0.0100,1.801100,-15780.940041,-15780.940041,10.724097,10.151826,3.225185,3.278804,3.258252,3.225173,3.278802,3.258254,9.109500,12.509953,8.823568,1005.528650,2.372493,2.317654,1.170990,1.187479,1.181191,2.209318,2.526525,2.177426
b0.0150-c-0.0050,1.797000,-15780.938068,-15780.938068,11.084930,10.105417,3.223540,3.276677,3.262176,3.223528,3.276675,3.262178,9.154800,12.509953,8.779887,1005.526355,2.405586,2.313072,1.170480,1.186830,1.182394,2.214278,2.526525,2.172464
b0.0150-c0.0000,1.796200,-15780.937056,-15780.937056,11.123892,10.157108,3.224397,3.274200,3.268221,3.224385,3.274198,3.268223,9.200600,12.509953,8.736206,1005.529197,2.409095,2.318174,1.170746,1.186074,1.184246,2.219269,2.526525,2.167476
b0.0150-c0.0050,1.791200,-15780.933017,-15780.933017,11.239573,10.036119,3.222142,3.273819,3.273307,3.222129,3.273817,3.273309,9.246800,12.509953,8.692525,1005.525481,2.419441,2.306190,1.170046,1.185957,1.185801,2.224278,2.526525,2.162463
b0.0150-c0.0100,1.776200,-15780.926494,-15780.926494,11.430025,9.751167,3.216769,3.280475,3.272199,3.216757,3.280473,3.272201,9.293500,12.509953,8.648844,1005.525372,2.436244,2.277387,1.168377,1.187988,1.185462,2.229315,2.526525,2.157426
b0.0150-c0.0150,1.764300,-15780.916641,-15780.916641,11.596932,9.486971,3.211862,3.284173,3.273667,3.211850,3.284171,3.273669,9.340700,12.509953,8.605163,1005.528049,2.450741,2.249919,1.166851,1.189115,1.185911,2.234381,2.526525,2.152362
b0.0150-c0.0200,1.746100,-15780.905543,-15780.905543,11.757007,9.335425,3.208637,3.295275,3.268330,3.208625,3.295273,3.268332,9.388300,12.509953,8.561482,1005.521984,2.464449,2.233816,1.165846,1.192490,1.184279,2.239464,2.526525,2.147273
b0.0150-c0.0250,1.736100,-15780.892335,-15780.892335,11.882115,9.355414,3.208428,3.302808,3.266980,3.208415,3.302806,3.266982,9.436500,12.509953,8.517801,1005.527831,2.475034,2.235955,1.165781,1.194773,1.183866,2.244585,2.526525,2.142158
b0.0150-c0.0300,1.725900,-15780.875746,-15780.875746,11.989982,9.255031,3.206483,3.307790,3.267454,3.206471,3.307788,3.267456,9.485100,12.509953,8.474120,1005.523405,2.484071,2.225167,1.165175,1.196280,1.184011,2.249722,2.526525,2.137017
b0.0200-c-0.0300,1.826500,-15780.917514,-15780.917514,9.840453,10.364048,3.215672,3.269078,3.272589,3.215660,3.269076,3.272591,8.978200,12.446451,8.998292,1005.529650,2.286502,2.338343,1.168036,1.184508,1.185581,2.194799,2.521435,2.197035
b0.0200-c-0.0250,1.821200,-15780.923926,-15780.923926,9.995638,10.442032,3.216541,3.269140,3.274525,3.216529,3.269138,3.274527,9.022000,12.446451,8.954611,1005.530085,2.302149,2.345839,1.168307,1.184527,1.186173,2.199666,2.521435,2.192169
b0.0200-c-0.0200,1.809800,-15780.928297,-15780.928297,10.215286,10.380852,3.214768,3.273819,3.273082,3.214756,3.273817,3.273084,9.066200,12.446451,8.910930,1005.527257,2.323885,2.339963,1.167755,1.185957,1.185732,2.204553,2.521435,2.187279
b0.0200-c-0.0150,1.809600,-15780.930032,-15780.930032,10.418518,10.454710,3.215486,3.269630,3.279423,3.215474,3.269628,3.279425,9.110900,12.446451,8.867249,1005.531552,2.343585,2.347053,1.167979,1.184677,1.187667,2.209471,2.521435,2.182365
b0.0200-c-0.0100,1.783000,-15780.929267,-15780.929267,10.671264,10.439677,3.214565,3.287252,3.263923,3.214553,3.287250,3.263925,9.156000,12.446451,8.823568,1005.531172,2.367555,2.345614,1.167692,1.190052,1.182930,2.214409,2.521435,2.177426
b0.0200-c-0.0050,1.775800,-15780.925757,-15780.925757,10.940751,10.378810,3.212713,3.287249,3.265634,3.212701,3.287247,3.265636,9.201500,12.446451,8.779887,1005.525463,2.392494,2.339766,1.167116,1.190051,1.183454,2.219367,2.521435,2.172464
b0.0200-c0.0000,1.777500,-15780.922287,-15780.922287,10.963574,10.485660,3.214677,3.282471,3.272869,3.214665,3.282469,3.272871,9.247600,12.446451,8.736206,1005.535521,2.394578,2.350009,1.167727,1.188597,1.185667,2.224364,2.521435,2.167476
b0.0200-c0.0050,1.769600,-15780.916839,-15780.916839,11.086637,10.351262,3.212027,3.284174,3.275960,3.212015,3.284172,3.275962,9.294000,12.446451,8.692525,1005.527910,2.405741,2.337108,1.166902,1.189115,1.186611,2.229369,2.521435,2.162463
b0.0200-c0.0100,1.755000,-15780.908622,-15780.908622,11.252215,10.126798,3.207616,3.290785,3.275001,3.207604,3.290783,3.275002,9.341000,12.446451,8.648844,1005.534434,2.420565,2.315185,1.165528,1.191126,1.186318,2.234413,2.521435,2.157426
b0.0200-c0.0150,1.745400,-15780.896883,-15780.896883,11.394777,9.909235,3.203483,3.292525,3.278343,3.203471,3.292523,3.278345,9.388400,12.446451,8.605163,1005.532694,2.433155,2.293467,1.164239,1.191655,1.187338,2.239475,2.521435,2.152362
